Unnamed: 0,created_date,goal_int,link,location,raised_int,state,summary,tag,title,year,month,weekday_name
0,"March 7, 2018",6500.0,https://www.gofundme.com/steven-crowder-live-at-smu,"Dallas, TX",2710.0,TX,"SMU College Republicans is bringing comedian Steven Crowder to SMU on Thursday, March 22 at 7pm in McFarlin Auditorium. Due to an extremely high demand to see Louder with Crowder live at SMU, we are renting the largest venue on SMU's campus. Unfortunately, the need to use McFarlin has significant...",rep,Steven Crowder Live at SMU!,2018,3,Wednesday
1,"October 16, 2016",10000.0,https://www.gofundme.com/reopen-a-nc-republican-office-2ukuprzy,"Brookline, MA",12857.0,MA,"NOTE: We reached our goal and then some in less than 40 minutes after we went public with this campaign. We stopped accepting donations then because our aim is to fund re-opening the bombed-out office, and we decided that we had gathered a reasonable amount for that purpose.   There are many wort...",rep,Dems help reopen a NC Repub office,2016,10,Sunday
2,"April 7, 2019",20000.0,https://www.gofundme.com/troopersanchez,"Mcallen, TX",13021.0,TX,"￼ Moises Sanchez, a Texas State Trooper, was shot while responding to an accident. He is currently in stable but critical condition following surgery, and him and his family need all the support they can get to help them during this difficult time. Please help by donating & continue to pray for h...",rep,Funds for Trooper Moises Sanchez,2019,4,Sunday
3,"November 17, 2015",5000.0,https://www.gofundme.com/mugop,"Columbia, MO",3649.0,MO,"We are the University of Missouri - College Republicans.  As you may have seen in recent news, it has become more and more difficult to voice our opinions freely on campus.  It is now legal to report ""hateful and/or hurtful speech"" to Mizzou's police department.       We are asking for your suppo...",rep,Mizzou College Republicans,2015,11,Tuesday
4,"November 15, 2017",8000.0,https://www.gofundme.com/bennett-funeral-expenses,"Nashville, TN",1575.0,TN,"Steve Willis, brother of Karen Willis Bennett, and son of Loretta Willis, passed away on November 13,2017. Steve had suffered from numerous medical issues for several years and his only income was from disability with limited support from Karen and her Mom. Karen’s father, Donald Willis, died jus...",rep,Willis (Bennett)  Funeral Expenses,2017,11,Wednesday
5,"April 9, 2015",1000.0,https://www.gofundme.com/rgep2s,"Peoria, IL",2625.0,IL,"Hello everyone. I'm Jesus, the Son of God. Support my loyal friend Ed as he sets the historical record straight by re-writing the Gospels and other key books of the New Testament through the lens of modern Republican Christianity (""Christianity""). Basically, he's going to take the situations in w...",rep,The New Republican Bible,2015,4,Thursday
6,"September 5, 2018",750.0,https://www.gofundme.com/62otugo,"Goshen, KY",500.0,KY,"This years NOHS Young Republican’s Club is the biggest in school history with 35 members and is continuing to grow. With a club this size we are seeking funds to be able to provide food for meetings, take club trips, and provide club t-shirts for all members. Any donation helps and will be greatl...",rep,NOHS Young Republican’s Club,2018,9,Wednesday
7,"October 12, 2018",25000.0,https://www.gofundme.com/help-repair-our-club,"New York, NY",4278.0,NY,"Late last night, in an act of what can only be described as malice and domestic terrorism, a group of Antifa members vandalized our historical, grassroots club, in Manhattan's Upper East Side. Our doors were graffitied, windows smashed, and a note threatening future violence was left for the club...",rep,Help repair our Club!,2018,10,Friday
8,"December 28, 2018",2500.0,https://www.gofundme.com/keep-the-gay-republican-alive,"Austin, TX",575.0,TX,"Facebook & Twitter has done everything possible to shut me down. My Facebook account was deleted and my twitter was purged from 100K+ to 2k. Tell me that's not corporate censorship? For the last 6 years blogging has been my life. It paid the bills, and helped spread the message of Compassionate C...",rep,Help Keep The Gay Republican Alive,2018,12,Friday
9,"October 23, 2016",5000.0,https://www.gofundme.com/hillsdalecpac,"Hillsdale, MI",1930.0,MI,Hillsdale College Republicans aims to take students to the Conservative Political Action Conference (CPAC) every year in Washington D.C. Students are able to listen to a vast array of conservative speakers and often have opportunities to meet and connect with them. CPAC is a great place for stude...,rep,CPAC-Hillsdale College Republicans,2016,10,Sunday
10,"May 23, 2016",1500.0,https://www.gofundme.com/25j9xngs,"Everett, WA",1595.0,WA,"Update: I set my goal assuming a frugal and thrifty trip (splitting a hotel room three ways, choosing a less desirable flight time, etc.) and I'm not going to change my attitude because of your generosity. All extra funds will go toward fellow young, deserving delegation members. You can donate t...",rep,Send Natalie to Republican Natl Con,2016,5,Monday
12,"February 5, 2017",3500.0,https://www.gofundme.com/cpac-in-washington-dc,"Fairfield, CT",1575.0,CT,"The Fairfield University College Republicans will be traveling to Washington DC in a few weeks to attend CPAC (Conservative Political Action Conference), with a total of 15 club members.  The costs for the trip are very high to cover travel and board and we are asking for donations. We hope that...",rep,CPAC in Washington DC,2017,2,Sunday
13,"June 4, 2019",500.0,https://www.gofundme.com/templecrs,"Philadelphia, PA",557.0,PA,"The Temple University College Republicans is a student organization on the Temple University campus that is dedicated to promoting conservative and Republican ideals to the student body, in addition to combating and promoting the truth when it comes to liberalism and progressivism.  Proceeds will...",rep,Temple College Republicans Fundraising Initiative,2019,6,Tuesday
14,"December 27, 2018",1000.0,https://www.gofundme.com/eckerd-college-republicans-club,"Saint Petersburg, FL",340.0,FL,"The Eckerd College Republicans are back in action after 30 years! We will be returning this coming spring, 2019.  We’re asking y’all for funding to get the club started back up again.  Funding will go towards hosting our own meetings, parties and events, traveling to major political events, going...",rep,Eckerd College Republicans Club,2018,12,Thursday
15,"February 8, 2019",2000.0,https://www.gofundme.com/truman-young-republicans-fundraiser,"Levittown, PA",245.0,PA,"The Truman Young Republican’s Club consists of a group of about 15 responsible, motivated Truman High School students who wish to educate themselves and others about current political issues.  As a first-year organization, we have had limited opportunities for fund-raising. We would like to broad...",rep,Truman Young Republicans Fundraiser,2019,2,Friday
16,"June 26, 2019",500.0,https://www.gofundme.com/send-megan-to-the-college-republican-convention,"Noblesville, IN",315.0,IN,"This April I was elected to serve the Florida Federation of College Republicans as the 2nd Vice Chairwoman. With this amazing opportunity, I was invited to attend the College Republican National Convention which happens biannually. This will be my last chance to attend this event that takes place...",rep,Send Megan to the College Republican Convention,2019,6,Wednesday
17,"October 15, 2018",1000.0,https://www.gofundme.com/florence-relief-republican,"Lexington, SC",475.0,SC,100% of all proceeds go directly to the victims of hurricane Florence,rep,Republicans for Hurricane relief,2018,10,Monday
18,"November 8, 2015",5000.0,https://www.gofundme.com/3597xp9w,"Sioux Falls, SD",2600.0,SD,"At Augustana University, students are leaders. Students strive to achieve the highest possible standard of community, excellence, leadership and diligence. As the Augustana University Republicans, we are no different. Almost all student groups at Augustana University are student funded. We volunt...",rep,Augie Republicans Trip to CPAC,2015,11,Sunday
19,"October 31, 2018",1500.0,https://www.gofundme.com/sju-college-republicans-to-cpac-19,"Broomall, PA",60.0,PA,"The College Republicans at SJU have had a great presence in the Philadelphia area this year. SJU College Republicans were awarded the chapter of excellence and continue to maintain that status. The chapter has increased membership, tabled, and canvassed for local elections in both Philadelphia an...",rep,SJU College Republicans to CPAC ‘19,2018,10,Wednesday
21,"July 1, 2018",2500.0,https://www.gofundme.com/republican039s-for-foster-kids,"Benton, AR",935.0,AR,"Project Zero works to connect waiting families with waiting children in the Foster Care system.    Through a combination of events and the creation of short films families are created each year. However, each year more children enter the foster system. Project Zero hops that one day there will be...",rep,Republican's For Foster Kids,2018,7,Sunday
22,"January 23, 2019",1000.0,https://www.gofundme.com/university-of-toledo-college-republicans,"Perrysburg, OH",425.0,OH,"We are raising money to send some of our members to CPAC in Washington DC at the end of February, where they can further their knowledge and leadership skills. Members will have the chance to see The President of The United States, Vice President, and many other conservative leaders. The trip wil...",rep,University of Toledo College Republicans,2019,1,Wednesday
23,"May 22, 2019",12500.0,https://www.gofundme.com/republican-st-ppatch-site-improvements,"Seattle, WA",971.0,WA,summary was NoneType,rep,Republican St. P-Patch Site Improvements,2019,5,Wednesday
24,"May 23, 2019",3000.0,https://www.gofundme.com/college-republicans-at-ucsc,"Santa Cruz, CA",80.0,CA,"The College Republicans at UC Santa Cruz are proud to announce they will be raising funds for the 2019 - 2020 school year. With past support our community has made it possible to bring names like David Horowitz, Cabot Phillips, and Christina Hoff Sommers to UCSC. Going forward we hope to bring no...",rep,College Republicans at UCSC,2019,5,Thursday
25,"November 7, 2018",3200.0,https://www.gofundme.com/2019-fundraiser-for-cru,"Chandler, AZ",755.0,AZ,"Formed in January of 2018, College Republicans United has already grown to be the largest Conservative student organization at Arizona State University. We are upbringing a new generation of Millennial Republicans to revitalize the Conservative base, that has been neglected until the Trump Era. C...",rep,2019 Fundraiser for CRU,2018,11,Wednesday
26,"November 14, 2018",3000.0,https://www.gofundme.com/college-republicans-at-ut-need-help,"Austin, TX",1440.0,TX,"Help the College Republicans serve the UT Austin campus and keep Texas red for the decades to come! The next generation of Texan voters and leaders is walking around our campus right now, daily being fed a diet of leftist lies. If we want to keep Texas red, we need to make sure that conservatism...",rep,College Republicans at UT need help,2018,11,Wednesday
27,"August 22, 2018",10000.0,https://www.gofundme.com/cypress-city-council-republican,"Cypress, CA",3000.0,CA,Steven D. Bradley                                                              AGE: 63                                                                                                                                                        OCCUPATION: CPA/CFO Retired  I am a Republican.   I have be...,rep,Cypress City Council,2018,8,Wednesday
28,"November 16, 2018",4000.0,https://www.gofundme.com/dominic-republican-medical-assist,"Fuquay Varina, NC",340.0,NC,"Dear friends, family, peers, and other great influencers of my life,      I would first like to thank you for taking your time to read my letter. As many of you know, I plan to continue my education after high school by pursuing the medical field. Specifically, I would like to become a Physician’...",rep,Dominican Republic Medical Assist,2018,11,Friday
29,"November 27, 2018",2500.0,https://www.gofundme.com/uncw-college-republicans-cpac-2019-trip,"Oxon Hill, MD",865.0,MD,Hello all! We are asking for donations to assist us with our annual trip to the Conservative Political Action Conference (CPAC) at the Gaylord National Convention Center in the National Harbor. CPAC 2019 is February 27 - March 2. CPAC is an opportunity for us to build connections with other conse...,rep,UNCW College Republicans CPAC 2019,2018,11,Tuesday
