,funds,link,location,summary,title
0,"
$34,766 raised of $100,000                    ",https://www.gofundme.com/fight-the-greens,"Drummoyne, NSW",We're putting together a war chest to fight the Greens. And we're asking for your help. Please give what you can so we can fight the Greens and their toxic unhinged ideology.   1st use - Fight the Defamation Case  Lawyers are expensive. Any funds donated will be used in the first instance to help...,"""Fight the Greens"""
1,"
$2,288 raised of $2,268                    ",https://www.gofundme.com/vaccine-advocacy-statement-for-press-democrat,"Santa Rosa, CA","To print the vaccine safety statement  with all our names beside it in the Press Democrat we have to raise $2,268 for a half page advertisement. There are over 200 of us who have responded to the SCMA website and sonomacountyvaccines@gmail.com so let's raise this money in a week! If we each contr...",Vaccine Advocacy Statement for Press Democrat
2,"
$3,467 raised of $8,000                    ",https://www.gofundme.com/1nefvc3lqo,"Murwillumbah, NSW","Mike has recently experienced a a series of setbacks that have caused him to be living in his truck with his dog, Chelsea.  Due to a disability, Mike lives on a fixed income.  He had planned to travel north for the winter, where he intended to park his truck on a friend's land.  However, his truc...",Aussie Democrat
3,"
$405 raised of $900                    ",https://www.gofundme.com/euaga-young-democrats-national-convention,"Brownsville, TX","Two years ago, I asked you all for support to attend the Young Democrats of America National Convention in Dallas, and you all helped me exceed my initial goal. THANK YOU! I am now hoping to attend the 2019 National Convention which will be held in Indianapolis, Indiana from July 17th-20th. I am...",Young Democrats National Convention
4,"
$758 raised of $1,800                    ",https://www.gofundme.com/vote-democrats-for-justice-sun-jan-27,"Claremont, CA","Democrats for Justice AD 41   9 Teacher Strong  - 14 Member Slate  We stand up for teachers, children, working families, young people, immigrants, veterans, people of color, tenants, and our Planet.    100% Grassroots No Career Politicians or Staffers We Fight For The People Year-Round.  In the S...",Vote Democrats For Justice Sun Jan 27
5,"
$2,320 raised of $2,000                    ",https://www.gofundme.com/earlyvotingforDems,"Madison, NJ","What is a better bang for our buck then 10 CENTS A VOTER???  Until we have confidence that we won't get hacked, we want to do what we can with paper ballots.  In NJ, we have early voting by Vote By Mail where registered voters can vote early by paper ballots.  We also know that early voting makes...",Early voting for Democrats!!
6,"
$810 raised of $75,000                    ",https://www.gofundme.com/create-the-democrat-dossier,"Lakehead, CA","Regardless of your political affiliation, you are probably interested in understanding the truth about the Russian collusion controversy.  The Democrat Dossier will examine aspects of the investigation into Russian collusion in the 2016 American presidential election, to explain how it began, who...",Create The Democrat Dossier
7,"
$3,191 raised of $6,000                    ",https://www.gofundme.com/young-democrats-to-wellstone,"Tempe, AZ","The Arizona State University Young Democrats are proud to be launching a grassroots campaign to send six of our most promising members to a once in a lifetime training opportunity put on by Wellstone Action this September in Missouri.   Every day, conservative and dark money groups invest six dol...",Young Democrats to Wellstone!
8,"
$525 raised of $550                    ",https://www.gofundme.com/send-ben-to-young-democrats-national-convention,"Newport News, VA","Once upon a time, there was a young lad from a small town in Virginia who just wanted to see the world and attend the Young Democrats of America Convention in Indianapolis, and all he needed was $550 for travel expenses.  Ok, I've traveled around Europe, so maybe I have seen some of the world, an...",Send Ben to Young Democrats National Convention!
9,"
$365 raised of $1,000                    ",https://www.gofundme.com/young-democrats-of-america-and-naacp-convention,"Parker, CO","Being an activist, community leader, and volunteer is awesome but you don't get into it to get rich. Please support this work by helping me attend the Young Democrats of America Convention July 17-20 followed by the National NAACP Convention July 20-24. Your donation will go toward travel and lod...",Young Democrats of America and NAACP Convention
10,"
$2,234 raised of $6,500                    ",https://www.gofundme.com/ca-democrats-for-peace-not-bds,"Vallejo, CA","Dear Democrats and Friends!  We invite you to help fund our work within the California Democratic Party (CDP) as we foster much-needed engagement and dialogue concerning Israel and Palestine, while cultivating a narrative of collaboration and engagement in response to the polarizing and divisive...",CA Democrats for Peace Not BDS
11,"
$380 raised of $2,800                    ",https://www.gofundme.com/washington-state-young-democrat-team-headed-to-atl,"Colville, WA","Capri, Tyler, and our third amigo are headed to Atlanta for the final meeting of the Young Democrats of America for our elected terms.  Travel costs are proving to be prohibitive and we are asking for your help to support us in getting to this national meeting.  Flights may cost up to $800 per pe...",Washington State Young Democrat Team Headed to ATL
12,"
$200 raised of $225,000                    ",https://www.gofundme.com/highergroundok,"Norman, OK","A new social fundraising movement to help get more Democrats elected in Oklahoma has been launched by Cobalt Prairie, one of Oklahoma’s leading political strategy and consulting firms. Donate now to join the fight.     The Problem  Did you know that registered Democrats outnumber Republicans in n...",Help us elect more Democrats in Oklahoma
13,"
$1,520 raised of $1,400                    ",https://www.gofundme.com/wc4vde64,"Salt Lake City, UT","This summer, I have an amazing opportunity. I have been accepted into the Young Democrats of America High School Leadership Academy! I was chosen as one of only a few dozen young leaders around the country to attend this special summer camp in Washington, D.C. In July. At the Academy, I will have...",Send a Young Democrat to Washington
