Unnamed: 0,link,location,summary,title,tag,raised,goal,created_date,goal_int,raised_int
0,https://www.gofundme.com/steven-crowder-live-at-smu,"Dallas, TX","SMU College Republicans is bringing comedian Steven Crowder to SMU on Thursday, March 22 at 7pm in McFarlin Auditorium. Due to an extremely high demand to see Louder with Crowder live at SMU, we are renting the largest venue on SMU's campus. Unfortunately, the need to use McFarlin has significant...",Steven Crowder Live at SMU!,rep,2710,6500                    ," March 7, 2018",6500.0,2710.0
1,https://www.gofundme.com/reopen-a-nc-republican-office-2ukuprzy,"Brookline, MA","NOTE: We reached our goal and then some in less than 40 minutes after we went public with this campaign. We stopped accepting donations then because our aim is to fund re-opening the bombed-out office, and we decided that we had gathered a reasonable amount for that purpose.   There are many wort...",Dems help reopen a NC Repub office,rep,12857,10000                    ," October 16, 2016",10000.0,12857.0
3,https://www.gofundme.com/mugop,"Columbia, MO","We are the University of Missouri - College Republicans.  As you may have seen in recent news, it has become more and more difficult to voice our opinions freely on campus.  It is now legal to report ""hateful and/or hurtful speech"" to Mizzou's police department.       We are asking for your suppo...",Mizzou College Republicans,rep,3649,5000                    ," November 17, 2015",5000.0,3649.0
4,https://www.gofundme.com/bennett-funeral-expenses,"Nashville, TN","Steve Willis, brother of Karen Willis Bennett, and son of Loretta Willis, passed away on November 13,2017. Steve had suffered from numerous medical issues for several years and his only income was from disability with limited support from Karen and her Mom. Karen’s father, Donald Willis, died jus...",Willis (Bennett)  Funeral Expenses,rep,1575,8000                    ," November 15, 2017",8000.0,1575.0
5,https://www.gofundme.com/rgep2s,"Peoria, IL","Hello everyone. I'm Jesus, the Son of God. Support my loyal friend Ed as he sets the historical record straight by re-writing the Gospels and other key books of the New Testament through the lens of modern Republican Christianity (""Christianity""). Basically, he's going to take the situations in w...",The New Republican Bible,rep,2625,1000                    ," April 9, 2015",1000.0,2625.0
6,https://www.gofundme.com/62otugo,"Goshen, KY","This years NOHS Young Republican’s Club is the biggest in school history with 35 members and is continuing to grow. With a club this size we are seeking funds to be able to provide food for meetings, take club trips, and provide club t-shirts for all members. Any donation helps and will be greatl...",NOHS Young Republican’s Club,rep,500,750                    ," September 5, 2018",750.0,500.0
7,https://www.gofundme.com/help-repair-our-club,"New York, NY","Late last night, in an act of what can only be described as malice and domestic terrorism, a group of Antifa members vandalized our historical, grassroots club, in Manhattan's Upper East Side. Our doors were graffitied, windows smashed, and a note threatening future violence was left for the club...",Help repair our Club!,rep,4278,25000                    ," October 12, 2018",25000.0,4278.0
8,https://www.gofundme.com/templecrs,"Philadelphia, PA","The Temple University College Republicans is a student organization on the Temple University campus that is dedicated to promoting conservative and Republican ideals to the student body, in addition to combating and promoting the truth when it comes to liberalism and progressivism.  Proceeds will...",Temple College Republicans Fundraising Initiative,rep,502,500                    ," June 4, 2019",500.0,502.0
9,https://www.gofundme.com/keep-the-gay-republican-alive,"Austin, TX","Facebook & Twitter has done everything possible to shut me down. My Facebook account was deleted and my twitter was purged from 100K+ to 2k. Tell me that's not corporate censorship? For the last 6 years blogging has been my life. It paid the bills, and helped spread the message of Compassionate C...",Help Keep The Gay Republican Alive,rep,575,2500                    ," December 28, 2018",2500.0,575.0
10,https://www.gofundme.com/hillsdalecpac,"Hillsdale, MI",Hillsdale College Republicans aims to take students to the Conservative Political Action Conference (CPAC) every year in Washington D.C. Students are able to listen to a vast array of conservative speakers and often have opportunities to meet and connect with them. CPAC is a great place for stude...,CPAC-Hillsdale College Republicans,rep,1930,5000                    ," October 23, 2016",5000.0,1930.0
11,https://www.gofundme.com/25j9xngs,"Everett, WA","Update: I set my goal assuming a frugal and thrifty trip (splitting a hotel room three ways, choosing a less desirable flight time, etc.) and I'm not going to change my attitude because of your generosity. All extra funds will go toward fellow young, deserving delegation members. You can donate t...",Send Natalie to Republican Natl Con,rep,1595,1500                    ," May 23, 2016",1500.0,1595.0
13,https://www.gofundme.com/cpac-in-washington-dc,"Fairfield, CT","The Fairfield University College Republicans will be traveling to Washington DC in a few weeks to attend CPAC (Conservative Political Action Conference), with a total of 15 club members.  The costs for the trip are very high to cover travel and board and we are asking for donations. We hope that...",CPAC in Washington DC,rep,1575,3500                    ," February 5, 2017",3500.0,1575.0
14,https://www.gofundme.com/eckerd-college-republicans-club,"Saint Petersburg, FL","The Eckerd College Republicans are back in action after 30 years! We will be returning this coming spring, 2019.  We’re asking y’all for funding to get the club started back up again.  Funding will go towards hosting our own meetings, parties and events, traveling to major political events, going...",Eckerd College Republicans Club,rep,340,1000                    ," December 27, 2018",1000.0,340.0
15,https://www.gofundme.com/truman-young-republicans-fundraiser,"Levittown, PA","The Truman Young Republican’s Club consists of a group of about 15 responsible, motivated Truman High School students who wish to educate themselves and others about current political issues.  As a first-year organization, we have had limited opportunities for fund-raising. We would like to broad...",Truman Young Republicans Fundraiser,rep,245,2000                    ," February 8, 2019",2000.0,245.0
16,https://www.gofundme.com/send-megan-to-the-college-republican-convention,"Noblesville, IN","This April I was elected to serve the Florida Federation of College Republicans as the 2nd Vice Chairwoman. With this amazing opportunity, I was invited to attend the College Republican National Convention which happens biannually. This will be my last chance to attend this event that takes place...",Send Megan to the College Republican Convention,rep,315,500                    ," June 26, 2019",500.0,315.0
17,https://www.gofundme.com/florence-relief-republican,"Lexington, SC",100% of all proceeds go directly to the victims of hurricane Florence,Republicans for Hurricane relief,rep,475,1000                    ," October 15, 2018",1000.0,475.0
18,https://www.gofundme.com/3597xp9w,"Sioux Falls, SD","At Augustana University, students are leaders. Students strive to achieve the highest possible standard of community, excellence, leadership and diligence. As the Augustana University Republicans, we are no different. Almost all student groups at Augustana University are student funded. We volunt...",Augie Republicans Trip to CPAC,rep,2600,5000                    ," November 8, 2015",5000.0,2600.0
19,https://www.gofundme.com/sju-college-republicans-to-cpac-19,"Broomall, PA","The College Republicans at SJU have had a great presence in the Philadelphia area this year. SJU College Republicans were awarded the chapter of excellence and continue to maintain that status. The chapter has increased membership, tabled, and canvassed for local elections in both Philadelphia an...",SJU College Republicans to CPAC ‘19,rep,60,1500                    ," October 31, 2018",1500.0,60.0
20,https://www.gofundme.com/rncjacoballin,"Mississauga, ON","Hello!  As many of you know I'm a student at Carleton University majoring in Political Science.  In the past year and a half I have worked on many different political projects. These ranged from interning in a Minister's office, to becoming a canvass supervisor on the Mississauga-Lakeshore campai...",Jacob's Republican Convention Fund,rep,2331,2500                    ," June 21, 2016",2500.0,2331.0
21,https://www.gofundme.com/republican039s-for-foster-kids,"Benton, AR","Project Zero works to connect waiting families with waiting children in the Foster Care system.    Through a combination of events and the creation of short films families are created each year. However, each year more children enter the foster system. Project Zero hops that one day there will be...",Republican's For Foster Kids,rep,935,2500                    ," July 1, 2018",2500.0,935.0
22,https://www.gofundme.com/university-of-toledo-college-republicans,"Perrysburg, OH","We are raising money to send some of our members to CPAC in Washington DC at the end of February, where they can further their knowledge and leadership skills. Members will have the chance to see The President of The United States, Vice President, and many other conservative leaders. The trip wil...",University of Toledo College Republicans,rep,425,1000                    ," January 23, 2019",1000.0,425.0
23,https://www.gofundme.com/republican-st-ppatch-site-improvements,"Seattle, WA",summary was NoneType,Republican St. P-Patch Site Improvements,rep,971,12500                    ," May 22, 2019",12500.0,971.0
24,https://www.gofundme.com/college-republicans-at-ut-need-help,"Austin, TX","Help the College Republicans serve the UT Austin campus and keep Texas red for the decades to come! The next generation of Texan voters and leaders is walking around our campus right now, daily being fed a diet of leftist lies. If we want to keep Texas red, we need to make sure that conservatism...",College Republicans at UT need help,rep,1440,3000                    ," November 14, 2018",3000.0,1440.0
25,https://www.gofundme.com/cypress-city-council-republican,"Cypress, CA",Steven D. Bradley                                                              AGE: 63                                                                                                                                                        OCCUPATION: CPA/CFO Retired  I am a Republican.   I have be...,Cypress City Council,rep,3000,10000                    ," August 22, 2018",10000.0,3000.0
26,https://www.gofundme.com/dominic-republican-medical-assist,"Fuquay Varina, NC","Dear friends, family, peers, and other great influencers of my life,      I would first like to thank you for taking your time to read my letter. As many of you know, I plan to continue my education after high school by pursuing the medical field. Specifically, I would like to become a Physician’...",Dominican Republic Medical Assist,rep,340,4000                    ," November 16, 2018",4000.0,340.0
