funds,link,location,summary,title
"
$2,710 raised of $6,500                    ",https://www.gofundme.com/steven-crowder-live-at-smu,"Dallas, TX",SMU College Republicans is bringing comedian Steven Crowde…,Steven Crowder Live at SMU!
"
$12,857 raised of $10,000                    ",https://www.gofundme.com/reopen-a-nc-republican-office-2ukuprzy,"Brookline, MA",NOTE: We reached our goal and then some in less than 40 minute…,Dems help reopen a NC Repub office
"
$13,021 raised of $20,000                    ",https://www.gofundme.com/troopersanchez,"Mcallen, TX","￼ Moises Sanchez, a Texas State Trooper, was shot while respondi…",Funds for Trooper Moises Sanchez
"
$3,649 raised of $5,000                    ",https://www.gofundme.com/mugop,"Columbia, MO",We are the University of Missouri - College Republicans.  As you ma…,Mizzou College Republicans
"
$1,575 raised of $8,000                    ",https://www.gofundme.com/bennett-funeral-expenses,"Nashville, TN","Steve Willis, brother of Karen Willis Bennett, and son of Loretta Willis…",Willis (Bennett)  Funeral Expenses
"
$2,625 raised of $1,000                    ",https://www.gofundme.com/rgep2s,"Peoria, IL","Hello everyone. I'm Jesus, the Son of God. Support my loyal friend E…",The New Republican Bible
"
$500 raised of $750                    ",https://www.gofundme.com/62otugo,"Goshen, KY",This years NOHS Young Republican’s Club is the biggest i…,NOHS Young Republican’s Club
"
$4,278 raised of $25,000                    ",https://www.gofundme.com/help-repair-our-club,"New York, NY","Late last night, in an act of what can only be described as malice and d…",Help repair our Club!
"
$502 raised of $500                    ",https://www.gofundme.com/templecrs,"Philadelphia, PA",The Temple University College Republicans is a student organiza…,Temple College Republicans Fundraising Initiative
"
$575 raised of $2,500                    ",https://www.gofundme.com/keep-the-gay-republican-alive,"Austin, TX",Facebook & Twitter has done everything possible to shut me dow…,Help Keep The Gay Republican Alive
"
$1,930 raised of $5,000                    ",https://www.gofundme.com/hillsdalecpac,"Hillsdale, MI",Hillsdale College Republicans aims to take students to the Conservativ…,CPAC-Hillsdale College Republicans
"
$1,595 raised of $1,500                    ",https://www.gofundme.com/25j9xngs,"Everett, WA",Update: I set my goal assuming a frugal and thrifty trip (splitting a h…,Send Natalie to Republican Natl Con
"
€120 raised of €200                    ",https://www.gofundme.com/sponsor-andy-for-dublin-marathon,"Dublin, Ireland",ALL PROCEEDS will be donated to Irish Republican prisoners and thei…,Marathon for Republican Prisoners
"
$1,575 raised of $3,500                    ",https://www.gofundme.com/cpac-in-washington-dc,"Fairfield, CT",The Fairfield University College Republicans will be traveling to W…,CPAC in Washington DC
"
$340 raised of $1,000                    ",https://www.gofundme.com/eckerd-college-republicans-club,"Saint Petersburg, FL",The Eckerd College Republicans are back in action after 30 years! We w…,Eckerd College Republicans Club
"
$245 raised of $2,000                    ",https://www.gofundme.com/truman-young-republicans-fundraiser,"Levittown, PA",The Truman Young Republican’s Club consists of a group of about 15 resp…,Truman Young Republicans Fundraiser
"
$315 raised of $500                    ",https://www.gofundme.com/send-megan-to-the-college-republican-convention,"Noblesville, IN",This April I was elected to serve the Florida Federation of College Rep…,Send Megan to the College Republican Convention
"
$475 raised of $1,000                    ",https://www.gofundme.com/florence-relief-republican,"Lexington, SC",100% of all proceeds go directly to the victims of hurricane Florence,Republicans for Hurricane relief
"
$2,600 raised of $5,000                    ",https://www.gofundme.com/3597xp9w,"Sioux Falls, SD","At Augustana University, students are leaders. Students strive to achie…",Augie Republicans Trip to CPAC
"
$60 raised of $1,500                    ",https://www.gofundme.com/sju-college-republicans-to-cpac-19,"Broomall, PA",The College Republicans at SJU have had a great presence in the Philadel…,SJU College Republicans to CPAC ‘19
"
$2,331 raised of $2,500                    ",https://www.gofundme.com/rncjacoballin,"Mississauga, ON",Hello!  As many of you know I'm a student at Carleton University ma…,Jacob's Republican Convention Fund
"
$935 raised of $2,500                    ",https://www.gofundme.com/republican039s-for-foster-kids,"Benton, AR",Project Zero works to connect waiting families with waiting childr…,Republican's For Foster Kids
"
$425 raised of $1,000                    ",https://www.gofundme.com/university-of-toledo-college-republicans,"Perrysburg, OH",We are raising money to send some of our members to CPAC in Washi…,University of Toledo College Republicans
"
$971 raised of $12,500                    ",https://www.gofundme.com/republican-st-ppatch-site-improvements,"Seattle, WA",summary was NoneType,Republican St. P-Patch Site Improvements
"
$1,440 raised of $3,000                    ",https://www.gofundme.com/college-republicans-at-ut-need-help,"Austin, TX",Help the College Republicans serve the UT Austin campus and keep Tex…,College Republicans at UT need help
"
$3,000 raised of $10,000                    ",https://www.gofundme.com/cypress-city-council-republican,"Cypress, CA",Steven D. Bradley                                                              AGE: 6…,Cypress City Council
"
$340 raised of $4,000                    ",https://www.gofundme.com/dominic-republican-medical-assist,"Fuquay Varina, NC","Dear friends, family, peers, and other great influencers of my life,      I wou…",Dominican Republic Medical Assist
"
$25 raised of $3,000                    ",https://www.gofundme.com/college-republicans-at-ucsc,"Santa Cruz, CA",The College Republicans at UC Santa Cruz are proud to announce they w…,College Republicans at UCSC
"
$865 raised of $2,500                    ",https://www.gofundme.com/uncw-college-republicans-cpac-2019-trip,"Oxon Hill, MD",Hello all! We are asking for donations to assist us with our an…,UNCW College Republicans CPAC 2019
"
$1,100 raised of $1,500                    ",https://www.gofundme.com/bulldog-republicans-go-to-cpac,"Duluth, MN","Dear Fellow Republicans,      The Bulldog Republicans at UMD hav…",Bulldog Republicans go to CPAC!
"
$125 raised of $5,000                    ",https://www.gofundme.com/college-republicans-ucsc-fund,"Santa Cruz, CA",The UCSC College Republicans want to bring you amazing speakers an…,UCSC College Republicans Fundraiser
"
$889 raised of $4,000                    ",https://www.gofundme.com/young-republican-katelyn-mcguyer-needs-support,"Visalia, CA","Our niece, Katelyn, has been selected as an intern for our local …",Katelyn McGuyer needs support
"
$505 raised of $5,000                    ",https://www.gofundme.com/political-action-college-republicans,"Hartford, CT",College Republicans at Trinity College is launching a capital campa…,Political Action! College Republicans
"
$25 raised of $1,000                    ",https://www.gofundme.com/supportcsufgop,"Fullerton, CA","The CSUF Republicans seek to support conservative students, e…",Support the CSUF Republicans!
"
$700 raised of $3,200                    ",https://www.gofundme.com/2019-fundraiser-for-cru,"Chandler, AZ","Formed in January of 2018, College Republicans United has already gro…",2019 Fundraiser for CRU
"
$10 raised of $500,000                    ",https://www.gofundme.com/republicans-helping-gov039t-shutdown-employees,"Mesquite, NV",Republicans care more than Democrats.  They offer $1.00 to ke…,Republicans helping  Gov't shutdown employees
"
$20 raised of $1,000                    ",https://www.gofundme.com/Behrend-College-Republican-Formal,"Erie, PA",My name is Avery Skiviat and I am part of the political science comm…,Behrend College Republican Formal
"
$100 raised of $1,800                    ",https://www.gofundme.com/beach-cities-republicans,"Palos Verdes Peninsula, CA",We meet every Third Thursday at the Torrance Sizzler in Torrance on Se…,Beach Cities Republicans
"
$80 raised of $500                    ",https://www.gofundme.com/sst-to-the-dominican-republican,"Fort Wayne, IN",I’m raising money to be able to have a fun lifetime experience and oppor…,SST Trip To The Dominican Republican
