,funds,link,location,summary,title
0,"
$2,710 raised of $6,500                    ",https://www.gofundme.com/steven-crowder-live-at-smu,"Dallas, TX","SMU College Republicans is bringing comedian Steven Crowder to SMU on Thursday, March 22 at 7pm in McFarlin Auditorium. Due to an extremely high demand to see Louder with Crowder live at SMU, we are renting the largest venue on SMU's campus. Unfortunately, the need to use McFarlin has significant...",Steven Crowder Live at SMU!
1,"
$12,857 raised of $10,000                    ",https://www.gofundme.com/reopen-a-nc-republican-office-2ukuprzy,"Brookline, MA","NOTE: We reached our goal and then some in less than 40 minutes after we went public with this campaign. We stopped accepting donations then because our aim is to fund re-opening the bombed-out office, and we decided that we had gathered a reasonable amount for that purpose.   There are many wort...",Dems help reopen a NC Repub office
2,"
$13,021 raised of $20,000                    ",https://www.gofundme.com/troopersanchez,"Mcallen, TX","￼ Moises Sanchez, a Texas State Trooper, was shot while responding to an accident. He is currently in stable but critical condition following surgery, and him and his family need all the support they can get to help them during this difficult time. Please help by donating & continue to pray for h...",Funds for Trooper Moises Sanchez
3,"
$3,649 raised of $5,000                    ",https://www.gofundme.com/mugop,"Columbia, MO","We are the University of Missouri - College Republicans.  As you may have seen in recent news, it has become more and more difficult to voice our opinions freely on campus.  It is now legal to report ""hateful and/or hurtful speech"" to Mizzou's police department.       We are asking for your suppo...",Mizzou College Republicans
4,"
$1,575 raised of $8,000                    ",https://www.gofundme.com/bennett-funeral-expenses,"Nashville, TN","Steve Willis, brother of Karen Willis Bennett, and son of Loretta Willis, passed away on November 13,2017. Steve had suffered from numerous medical issues for several years and his only income was from disability with limited support from Karen and her Mom. Karen’s father, Donald Willis, died jus...",Willis (Bennett)  Funeral Expenses
5,"
$2,625 raised of $1,000                    ",https://www.gofundme.com/rgep2s,"Peoria, IL","Hello everyone. I'm Jesus, the Son of God. Support my loyal friend Ed as he sets the historical record straight by re-writing the Gospels and other key books of the New Testament through the lens of modern Republican Christianity (""Christianity""). Basically, he's going to take the situations in w...",The New Republican Bible
6,"
$500 raised of $750                    ",https://www.gofundme.com/62otugo,"Goshen, KY","This years NOHS Young Republican’s Club is the biggest in school history with 35 members and is continuing to grow. With a club this size we are seeking funds to be able to provide food for meetings, take club trips, and provide club t-shirts for all members. Any donation helps and will be greatl...",NOHS Young Republican’s Club
7,"
$4,278 raised of $25,000                    ",https://www.gofundme.com/help-repair-our-club,"New York, NY","Late last night, in an act of what can only be described as malice and domestic terrorism, a group of Antifa members vandalized our historical, grassroots club, in Manhattan's Upper East Side. Our doors were graffitied, windows smashed, and a note threatening future violence was left for the club...",Help repair our Club!
8,"
$575 raised of $2,500                    ",https://www.gofundme.com/keep-the-gay-republican-alive,"Austin, TX","Facebook & Twitter has done everything possible to shut me down. My Facebook account was deleted and my twitter was purged from 100K+ to 2k. Tell me that's not corporate censorship? For the last 6 years blogging has been my life. It paid the bills, and helped spread the message of Compassionate C...",Help Keep The Gay Republican Alive
9,"
$1,930 raised of $5,000                    ",https://www.gofundme.com/hillsdalecpac,"Hillsdale, MI",Hillsdale College Republicans aims to take students to the Conservative Political Action Conference (CPAC) every year in Washington D.C. Students are able to listen to a vast array of conservative speakers and often have opportunities to meet and connect with them. CPAC is a great place for stude...,CPAC-Hillsdale College Republicans
10,"
$1,595 raised of $1,500                    ",https://www.gofundme.com/25j9xngs,"Everett, WA","Update: I set my goal assuming a frugal and thrifty trip (splitting a hotel room three ways, choosing a less desirable flight time, etc.) and I'm not going to change my attitude because of your generosity. All extra funds will go toward fellow young, deserving delegation members. You can donate t...",Send Natalie to Republican Natl Con
11,"
€120 raised of €200                    ",https://www.gofundme.com/sponsor-andy-for-dublin-marathon,"Dublin, Ireland",ALL PROCEEDS will be donated to Irish Republican prisoners and their families.,Marathon for Republican Prisoners
12,"
$1,575 raised of $3,500                    ",https://www.gofundme.com/cpac-in-washington-dc,"Fairfield, CT","The Fairfield University College Republicans will be traveling to Washington DC in a few weeks to attend CPAC (Conservative Political Action Conference), with a total of 15 club members.  The costs for the trip are very high to cover travel and board and we are asking for donations. We hope that...",CPAC in Washington DC
13,"
$557 raised of $500                    ",https://www.gofundme.com/templecrs,"Philadelphia, PA","The Temple University College Republicans is a student organization on the Temple University campus that is dedicated to promoting conservative and Republican ideals to the student body, in addition to combating and promoting the truth when it comes to liberalism and progressivism.  Proceeds will...",Temple College Republicans Fundraising Initiative
