,funds,link,location,title,created_date,summary
0,"
$2,710 raised of $6,500                    ",https://www.gofundme.com/steven-crowder-live-at-smu,"Dallas, TX",Steven Crowder Live at SMU!,"Created March 7, 2018","SMU College Republicans is bringing comedian Steven Crowder to SMU on Thursday, March 22 at 7pm in McFarlin Auditorium. Due to an extremely high demand to see Louder with Crowder live at SMU, we are renting the largest venue on SMU's campus. Unfortunately, the need to use McFarlin has significantly increased our expected cost of the event. Our organization needs help paying for the venue, security, and necessary equipment for the show in order to keep it at McFarlin and ensure we have the maximum possible attendance. Within four days of the Eventbrite being posted, the venue is already set to be at least half full. We are expecting to have at least 1200 attendees at the event. It would be extremely disappointing for them if we have to switch to a smaller venue, so we want to do everything we can to keep Louder With Crowder in the largest venue on campus. We are striving to provide the best experience for SMU students and the DFW community to have an entertaining, educational night by hearing Steven's conservative message. Any help we receive will be extremely appreciated by everyone planning to attend, as well as our organization. We hope that whether you donate or not, you come to the event and have a great time!"
1,"
$12,857 raised of $10,000                    ",https://www.gofundme.com/reopen-a-nc-republican-office-2ukuprzy,"Brookline, MA",Dems help reopen a NC Repub office,"Created October 16, 2016","NOTE: We reached our goal and then some in less than 40 minutes after we went public with this campaign. We stopped accepting donations then because our aim is to fund re-opening the bombed-out office, and we decided that we had gathered a reasonable amount for that purpose. There are many worth causes, partisan and non-partisan. For example, might we suggest contributing to a North Carolina classroom through DonorsChoose ? Here's the original campaign description,DESCRIPTIONOn October 16, a North Carolina headquarters of the Republican Party was firebombed , and an abhorrent threat was painted on its outside wallAs Democrats, we are starting this campaign to enable the Orange County, North Carolina Republican office to re-open as soon as possible. Until an investigation is undertaken, we cannot know who did this or why. No matter the result, this is not how Americans resolve their differences. We talk, we argue, sometimes we march, and most of all we vote. We do not resort to violence by individuals or by mobs.So, let's all pitch in , no matter what your party affiliation, in and get that office open again quickly.More InfoHere's some additional information that GoFundMe likes to see expressed:My name is David Weinberger.  (There's more about me here and here.) My name is on this campaign, but it's actually the work of several people:Dan GillmorJeff JarvisClay ShirkyJoe TrippiZeynep TufekciAll of us are long-time Internet students and do-ers.  We're also all either Democrats, or independents who are leaning that way in this cycle.We put this campaign together quickly after talking about an idea that Zeynep tweeted .  The idea evolved to the point where a GFM campaign made sense. I initiated it. Our aim is, as stated, to help fund the re-opening of the bombed-out office. We do not want any of the funds gathered to be used for other political activities. We are currently talking with officials of Orange County and hope soon to be talking with the local GOP leaders to figure out how to provide this funding in a way that meets the election laws (which are complex) and that accomplishes the campaign's stated goal of re-opening the office. If there's no legal, practical way to put all of the money to that use, we will find a strictly non-partisan way of using it, and will let the donors know  so that they can participate in the decision.Thanks for your support in standing up for democracy, even when we disagree (sometimes quite fundamenally) with the policies of some of the participants."
2,"
$13,171 raised of $20,000                    ",https://www.gofundme.com/troopersanchez,"Mcallen, TX",Funds for Trooper Moises Sanchez,"Created April 7, 2019","￼Moises Sanchez, a Texas State Trooper, was shot while responding to an accident. He is currently in stable but critical condition following surgery, and him and his family need all the support they can get to help them during this difficult time. Please help by donating & continue to pray for him and his family. ALL money will be given to Mr. Sanchez and his family (minus GoFund Me fees). We have also received permission from his family to start this donation page. If you have any questions, email: hidalgocountytars@gmail.com page managed by Hidalgo County Teenage Republicans; funds will be withdrawn to Trooper Sanchez’s wife, Yvonee Sanchez."
3,"
$2,551 raised of $3,000                    ",https://www.gofundme.com/uncw-college-republicans-cpac-2020,"Wilmington, NC",UNCW College Republicans CPAC 2020,"Created October 21, 2019","Hello! We are asking for donations to assist us with our annual trip to the Conservative Political Action Conference at the Gaylord National Convention Center in National Harbor, MD. CPAC 2020 is February 26 - February 29. This conference represents an opportunity for us to build connections with other conservatives across the nation and expand our political knowledge of the Republican Party! As we all know 2020 is a huge year for the GOP and we are ready to tackle it together!All funds raised will go directly to assist with our expenses for CPAC 2020. These include: lodging, transportation, and ticket costs. Thank you for all of your support! We appreciate your time."
4,"
$360 raised of $3,000                    ",https://www.gofundme.com/college-republicans-at-ucsc,"Santa Cruz, CA",College Republicans at UCSC,"Created May 23, 2019","The College Republicans at UC Santa Cruz are proud to announce they will be raising funds for the 2019 - 2020 school year. With past support our community has made it possible to bring names like David Horowitz, Cabot Phillips, and Christina Hoff Sommers to UCSC. Going forward we hope to bring noteworthy and well spoken conservatives like Victor Davis Hanson, Dinesh D'Souza, and Dennis Prager to our school. If you are interested in providing students with a chance to hear controversial and challenging new ideas, please consider making a donation to our cause. If you have any questions or concerns, please do not hesitate to contact us ."
5,"
$3,649 raised of $5,000                    ",https://www.gofundme.com/mugop,"Columbia, MO",Mizzou College Republicans,"Created November 17, 2015","We are the University of Missouri - College Republicans.  As you may have seen in recent news, it has become more and more difficult to voice our opinions freely on campus.  It is now legal to report ""hateful and/or hurtful speech"" to Mizzou's police department.      We are asking for your support to help us combat the fight against the freedom of speech that our founding fathers have so greatly bestowed upon us.  This means hanging posters, handing out flyers, hosting events, and bringing in strong conservative speakers.  But all of this adds up, especially when considering trips to National conferences. That is why we are counting on you, the public, for monetary donations.     We would appreciate any support, small or large, in our efforts to continue the fight for freedom.  Sincerley,   Skyler Roundtree, President"
6,"
$632 raised of $2,000                    ",https://www.gofundme.com/philly-young-republicans-3rd-annual-backpack-drive,"Philadelphia, PA",Philly Young Republicans 3rd Annual Backpack Drive,"Created July 23, 2019",The Philly YRs are doing their 3rd annual Backpack Drive!! Over the past 2 years we have been able to donate 530 backpacks with supplies to needy children in Philadelphia! We hope this year we can do the same for hundreds of Philly school children. Every bit helps so please donate to this worthy cause!
7,"
$1,575 raised of $8,000                    ",https://www.gofundme.com/bennett-funeral-expenses,"Nashville, TN",Willis (Bennett)  Funeral Expenses,"Created November 15, 2017","Steve Willis, brother of Karen Willis Bennett, and son of Loretta Willis, passed away on November 13,2017. Steve had suffered from numerous medical issues for several years and his only income was from disability with limited support from Karen and her Mom. Karen’s father, Donald Willis, died just a few weeks ago  (October 5, 2017), further adding to Karen and Loretta's financial burden. Steve did not have insurance. A Memorial Service is planned on Tuesday, November 21st, at 2 pm at the Nashville Cowboy Church, 410 Brick Church Pike, Goodlettsville, TN 37072.Any help you can give will be greatly appreciated."
8,"
$2,625 raised of $1,000                    ",https://www.gofundme.com/rgep2s,"Peoria, IL",The New Republican Bible,"Created April 9, 2015"," Hello everyone. I'm Jesus, the Son of God. Support my loyal friend Ed as he sets the historical record straight by re-writing the Gospels and other key books of the New Testament through the lens of modern Republican Christianity (""Christianity""). Basically, he's going to take the situations in which I found myself throughout the Bible and show you how they would look if, say, Scott Walker or Lindsey Graham were in my shoes.  I don't want to give too much away but let's just say there aren't going to be any handouts in this version.  And you can bet your ass I'm not healing anyone with a pre-existing condition.The main purpose here is to allow pre-orders of the NRB, which should be for sale in paper and eBook form by the Glorious Season of My Birth in 2015.                        "
9,"
$4,278 raised of $25,000                    ",https://www.gofundme.com/help-repair-our-club,"New York, NY",Help repair our Club!,"Created October 12, 2018","Late last night, in an act of what can only be described as malice and domestic terrorism, a group of Antifa members vandalized our historical, grassroots club, in Manhattan's Upper East Side. Our doors were graffitied, windows smashed, and a note threatening future violence was left for the club to find.  We ask all those who are supporters of free speech and those opposed to political violence to help us in repairing the damage caused by these dangerous individuals and to help us add more security so that this incident is never repeated."
