state,min_raised,max_raised,sum_raised,avg_raised
AK,120.0,4500.0,14263.0,2377.1666666666665
AL,0.0,8365.0,21812.0,838.9230769230769
AR,0.0,19940.0,30790.0,2199.285714285714
AZ,0.0,5603.0,24678.0,573.9069767441861
CA,0.0,98117.0,882275.0,3393.3653846153848
CO,0.0,12938.0,85217.0,1936.75
CT,0.0,12221.0,53758.0,2829.3684210526317
DC,0.0,449383.0,536426.0,17304.064516129034
DE,0.0,2350.0,3920.0,653.3333333333334
FL,0.0,25000000.0,25186632.0,233209.55555555556
GA,0.0,116631.0,290217.0,6046.1875
HI,0.0,7870.0,14667.0,1629.6666666666667
IA,0.0,4850.0,12249.0,1361.0
ID,0.0,3731.0,9351.0,935.1
IL,0.0,10560.0,60606.0,1212.12
IN,0.0,13580.0,44603.0,1592.9642857142858
KS,0.0,4115.0,10055.0,718.2142857142857
KY,0.0,8655.0,14761.0,868.2941176470588
LA,0.0,8243.0,20368.0,1566.7692307692307
MA,0.0,36856.0,109058.0,2869.9473684210525
MD,0.0,15828.0,124669.0,2899.279069767442
ME,0.0,14290.0,28130.0,1406.5
MI,0.0,23737.0,56670.0,1770.9375
MN,0.0,10678.0,32752.0,1559.6190476190477
MO,0.0,21693.0,56271.0,2009.6785714285713
MS,0.0,5350.0,8605.0,1229.2857142857142
MT,0.0,2390.0,4602.0,1150.5
NC,0.0,488355.0,1061367.0,22582.27659574468
ND,165.0,1527.0,1692.0,846.0
NE,0.0,8100.0,22664.0,1743.3846153846155
NH,0.0,2485.0,7030.0,502.14285714285717
NJ,0.0,32549.0,113891.0,1441.6582278481012
NM,0.0,11745.0,33221.0,1954.1764705882354
NV,0.0,3000.0,5833.0,364.5625
NY,0.0,48813.0,354397.0,3616.295918367347
OH,0.0,6390.0,27858.0,795.9428571428572
OK,0.0,20540.0,46255.0,3854.5833333333335
OR,0.0,4720.0,46037.0,1587.4827586206898
PA,0.0,38105.0,147633.0,2171.073529411765
RI,40.0,2145.0,2590.0,518.0
SC,0.0,37168.0,49779.0,2370.4285714285716
SD,0.0,2600.0,5254.0,1050.8
TN,0.0,3700.0,19449.0,810.375
TX,0.0,25400.0,179680.0,1437.44
UT,0.0,19485.0,38167.0,4770.875
VA,0.0,25550.0,121001.0,2200.018181818182
VT,0.0,3046.0,10439.0,1304.875
WA,0.0,57162.0,171197.0,3493.816326530612
WI,0.0,5967.0,23099.0,1539.9333333333334
WV,0.0,4137.0,8087.0,539.1333333333333
WY,0.0,2580.0,7260.0,1210.0
