"Location","White","Black","Asian","Hispanic","American Indian/ Alaska Native","Native Hawaiian/ Pacific Islander","Other","Multiple Race/ Ethnicity","Non-U.S. Citizen/Non-Permanent Resident","Unknown Race/ Ethnicity","Total",Footnotes
"United States","10458","1052","3701","928","27","4","300","1168","365","75","18078","1"
"Alabama","176","14","24","1","0","0","2","6","0","1","224"
"Alaska","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Arizona","100","4","30","9","0","0","0","10","0","0","153"
"Arkansas","123","4","17","5","0","0","1","7","0","0","157"
"California","443","47","340","104","1","0","36","98","22","3","1094"
"Colorado","107","1","15","4","0","0","4","16","0","1","148"
"Connecticut","96","10","43","10","0","0","5","13","10","1","188"
"Delaware","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"District of Columbia","239","82","102","19","0","0","9","25","14","2","492"
"Florida","329","39","129","55","0","0","23","51","0","4","630"
"Georgia","278","73","91","6","0","0","5","20","9","1","483"
"Hawaii","9","0","34","0","0","3","0","14","3","0","63"
"Idaho","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Illinois","601","64","245","60","2","0","17","72","27","6","1094"
"Indiana","210","14","41","4","0","0","2","18","7","2","298"
"Iowa","117","4","12","5","0","0","2","7","1","0","148"
"Kansas","143","8","16","3","1","0","1","11","1","1","185"
"Kentucky","215","15","21","4","0","1","4","6","6","2","274"
"Louisiana","338","23","66","4","0","0","3","25","7","1","467"
"Maine","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Maryland","271","22","109","7","0","0","7","33","6","2","457"
"Massachusetts","346","38","164","28","0","0","12","47","16","5","656"
"Michigan","388","32","121","9","4","0","19","30","17","5","625"
"Minnesota","190","11","32","3","5","0","4","13","9","0","267"
"Mississippi","109","13","3","2","0","0","0","2","0","1","130"
"Missouri","235","12","109","3","0","0","3","19","82","3","466"
"Montana","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Nebraska","213","4","26","2","0","0","3","14","0","1","263"
"Nevada","34","0","12","0","0","0","2","6","0","1","55"
"New Hampshire","48","2","17","2","0","0","3","6","11","1","90"
"New Jersey","118","25","115","13","0","0","4","12","0","1","288"
"New Mexico","36","1","1","17","1","0","0","12","1","3","72"
"New York","960","113","441","84","0","0","41","109","34","9","1791"
"North Carolina","286","50","71","15","4","0","7","22","4","0","459"
"North Dakota","55","0","2","0","3","0","0","2","0","0","62"
"Ohio","593","43","216","19","0","0","15","46","10","5","947"
"Oklahoma","113","1","22","1","0","0","2","16","0","2","157"
"Oregon","94","2","23","0","1","0","2","5","0","0","127"
"Pennsylvania","700","48","270","35","0","0","23","76","15","3","1170"
"Rhode Island","37","7","29","10","0","0","1","5","3","1","93"
"South Carolina","174","28","27","5","0","0","2","9","0","0","245"
"South Dakota","47","1","2","0","1","0","0","3","0","0","54"
"Tennessee","222","98","51","7","0","0","1","20","13","1","413"
"Texas","722","59","357","112","1","0","10","120","19","4","1404"
"Utah","60","0","9","2","0","0","2","4","1","0","78"
"Vermont","74","2","20","1","0","0","1","10","1","0","109"
"Virginia","281","23","113","14","0","0","11","42","14","2","500"
"Washington","156","2","33","6","1","0","3","17","0","0","218"
"West Virginia","108","2","17","2","1","0","6","8","1","0","145"
"Wisconsin","261","11","61","5","1","0","1","25","1","0","366"
"Wyoming","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Puerto Rico","3","0","2","231","0","0","1","36","0","0","273"
