full_name|doing_business_as|license_no|license_type_name|license_status_name|addr_line_1|addr_line_4|addr_city|addr_county|addr_state|addr_zipcode|
1 STOP SHOP LLC||403-01534|Optional Premises|Voluntary Surrender|400 South Lipan Street, Unit 6|Denver CO  80223|Denver|Denver|CO|80223|
1332 SYSTEMS LLC||404-00570|Infused Product Manufacturer|Voluntary Surrender|1332 South Cherokee Street|Denver CO  80223|Denver|Denver|CO|80223|
1332 SYSTEMS LLC||403-01858|Optional Premises|Voluntary Surrender|1332 South Cherokee Street|Denver CO  80223|Denver|Denver|CO|80223|
136 DENVER DEVELOPER LLC|EUFLORA|402R-00643|Retail Marijuana Store|Voluntary Surrender|13621 Washington Street|Thornton CO  80023|Thornton|Adams|CO|80023|
21000 INC||403R-00359|Retail Marijuana Cultivation Facility|Voluntary Surrender|21000 E 32nd Pkwy|Aurora CO  80011|Aurora|Adams|CO|80011|
21000 INC||404R-00085|Retail Marijuana Products Mfg|Voluntary Surrender|21000 E 32nd Pkwy|Aurora CO  80011|Aurora|Adams|CO|80011|
3BUDS LLC|CAUSE+MEDIC|404R-00223|Retail Marijuana Products Mfg|Voluntary Surrender|4340 East Kentucky Avenue, Suite 215|Glendale CO  80246|Glendale|Arapahoe|CO|80246|
3-D DENVERS DISCREET DISPENSARY LLC|3D cannabis Center|403R-00323|Retail Marijuana Cultivation Facility|Voluntary Surrender|7706 County Road 150|Salida CO  81201|Salida|Chaffee|CO|81201|
434 GROUP LLC|VIOLAS EXTRACTS|404-00186|Infused Product Manufacturer|Voluntary Surrender|4645 Joliet Street|Denver CO  80239|Denver|Denver|CO|80239|
434 GROUP LLC|VIOLAS EXTRACTS|403-01778|Optional Premises|Voluntary Surrender|4645 Joliet Street|Denver CO  80239|Denver|Denver|CO|80239|
4625 E COLFAX LLC|THE CLINIC ON COLFAX|403R-00059|Retail Marijuana Cultivation Facility|Voluntary Surrender|4625 East Colfax Avenue|Denver CO  80220|Denver|Denver|CO|80220|
4625 E COLFAX LLC|THE CLINIC ON COLFAX|403R-00061|Retail Marijuana Cultivation Facility|Voluntary Surrender|5098 Paris Street|Denver CO  80239|Denver|Denver|CO|80239|
5110 RACE LLC|THE SANCTUARY|403R-00003|Retail Marijuana Cultivation Facility|Voluntary Surrender|2424 East 43rd Avenue|Denver CO  80216|Denver|Denver|CO|80216|
5110 RACE LLC|THE SANCTUARY|403R-00318|Retail Marijuana Cultivation Facility|Voluntary Surrender|11100 East 51st Avenue|Denver CO  80239|Denver|Denver|CO|80239|
5B1S LLC|1859|403-00698|Optional Premises|Voluntary Surrender|3880 Holly Street|Denver CO  80207|Denver|Denver|CO|80207|
5B1S LLC|1859|402-00952|Center - Type 1|Voluntary Surrender|231 Gregory Street|Black Hawk CO  80422|Black Hawk|Gilpin|CO|80422|
5B1S LLC|1859|403R-00561|Retail Marijuana Cultivation Facility|Voluntary Surrender|3880 Holly Street|Denver CO  80207|Denver|Denver|CO|80207|
ABSOLUTE MANITOU WELLNESS CENTER LLC||403-00499|Optional Premises|Voluntary Surrender|4400 Garfield|Denver CO  80216|Denver|Denver|CO|80216|
ABSOLUTE MANITOU WELLNESS CENTER LLC||402-00688|Center - Type 1|Voluntary Surrender|2 Manitou Avenue|Manitou Springs CO  80829|Manitou Springs|El Paso|CO|80829|
ABSOLUTE MANITOU WELLNESS CENTER LLC|RESERVE 1 GLENDALE|402-00888|Center - Type 1|Voluntary Surrender|4182 East Virginia Street, Unit C|Glendale CO  80246|Glendale|Arapahoe|CO|80246|
